osm_id,code,fclass,name,type
"1184268790",1500,building,,
"1184268791",1500,building,,
"1184268792",1500,building,,
"1184268796",1500,building,,
"1184268797",1500,building,,
"1184268798",1500,building,,
"1184268799",1500,building,,
"1184268800",1500,building,,
"1184268801",1500,building,,
"1184268802",1500,building,,
"1184268803",1500,building,,
"1184268804",1500,building,,
"1184268805",1500,building,,
"1184268806",1500,building,,
"1184268807",1500,building,,
"1184268808",1500,building,,
"1184268809",1500,building,,
"1184268810",1500,building,,
"1184268811",1500,building,,
"1184268813",1500,building,,
"1184268814",1500,building,,
"1184276348",1500,building,,
"1184276349",1500,building,,
"1184276350",1500,building,,
"1184276351",1500,building,,
"1184276352",1500,building,,
"1184276353",1500,building,,
"1184276354",1500,building,,
"1184276369",1500,building,,
"1184276370",1500,building,,
"1184276377",1500,building,,
"1184276378",1500,building,,
"1184276379",1500,building,,
"1184276380",1500,building,,
"1184276381",1500,building,,
"1184276382",1500,building,,
"1184276383",1500,building,,
"1184276384",1500,building,,
"1184276385",1500,building,,
"1184276386",1500,building,,
"1184276387",1500,building,,
"1184276388",1500,building,,
"1184276389",1500,building,,
"1184276390",1500,building,,
"1184276391",1500,building,,
"1184276392",1500,building,,
"1184276393",1500,building,,
"1184276394",1500,building,,
"1184276395",1500,building,,
"1184276396",1500,building,,
"1184276397",1500,building,,
"1184276398",1500,building,,
"1184276399",1500,building,,
"1184276400",1500,building,,
"1184276401",1500,building,,
"1184276402",1500,building,,
"1184276403",1500,building,,
"1184276404",1500,building,,
"1184276405",1500,building,,
"1184276406",1500,building,,
"1184276407",1500,building,,
"1184276408",1500,building,,
"1184276409",1500,building,,
"1184276410",1500,building,,
"1184276411",1500,building,,
"1184276412",1500,building,,
"1184276413",1500,building,,
"1184276414",1500,building,,
"1184276415",1500,building,,
"1184276416",1500,building,,
"1184276417",1500,building,,
"1184276418",1500,building,,
"1184276420",1500,building,,
"1184276421",1500,building,,
"1184301272",1500,building,,
"1184301273",1500,building,,
"1184301274",1500,building,,
"1184301275",1500,building,,
"1184301276",1500,building,,
"1184301277",1500,building,,
"1184301278",1500,building,,
"1184301279",1500,building,,
"1184301280",1500,building,,
"1184301281",1500,building,,
"1184301283",1500,building,,
"1184301287",1500,building,,
"1184301288",1500,building,,
"1184301289",1500,building,,
"1184301290",1500,building,,
"1184301291",1500,building,,
"1184301292",1500,building,,
"1184301293",1500,building,,
"1184313098",1500,building,,
"1184313102",1500,building,,
"1184313103",1500,building,,
"1184313104",1500,building,,
"1184313105",1500,building,,
"1184313107",1500,building,,
"1184313108",1500,building,,
"1184313109",1500,building,,
"1184321405",1500,building,,
"1184321406",1500,building,,
"1184321410",1500,building,,
"1184483183",1500,building,,
"1184483184",1500,building,,
"1184483185",1500,building,,
"1184483186",1500,building,,
"1184483187",1500,building,,
"1184483188",1500,building,,
"1184483189",1500,building,,
"1184483190",1500,building,,
"1184483191",1500,building,,
"1184483192",1500,building,,
"1184483193",1500,building,,
"1184545944",1500,building,,
"1184545945",1500,building,,
"1184729206",1500,building,,
"1184729207",1500,building,,
"1184729208",1500,building,,
"1184729210",1500,building,,
"1184729211",1500,building,,
"1184729212",1500,building,,
"1184729213",1500,building,,
"1184729214",1500,building,,
"1184729215",1500,building,,
"1184729216",1500,building,,
"1184840390",1500,building,,
"1184840391",1500,building,,
"1184840392",1500,building,,
"1184840393",1500,building,,
"1184840394",1500,building,,
"1184840416",1500,building,,
"1184983571",1500,building,,
"1184983572",1500,building,,
"1184983573",1500,building,,
"1184983574",1500,building,,
"1184983575",1500,building,,
"1184983576",1500,building,,
"1184983577",1500,building,,
"1184983578",1500,building,,
"1184983579",1500,building,,
"1184983580",1500,building,,
"1184983581",1500,building,,
"1184983582",1500,building,,
"1184983583",1500,building,,
"1184983584",1500,building,,
"1184983585",1500,building,,
"1184983587",1500,building,,
"1184983588",1500,building,,
"1184983589",1500,building,,
"1184983590",1500,building,,
"1184983593",1500,building,,
"1184983594",1500,building,,
